"idpunto","lat","lon","Capm_ha","Cce_ha","Cne_ha","Cnef_ha","Clt_ha","Cor_ha","Css_ha","Csp_ha","WGRU_CODE"
3587,46.71135276,12.21478506,0.441747485,0.078829374,0,NA,NA,NA,NA,NA,"FT"
3609,46.70014554,10.4913812,0,0,9.208768149,NA,NA,NA,NA,NA,"La"
3614,46.7030753,10.5605973,0,0.963541742,0.466398759,NA,NA,NA,NA,NA,"Fs"
3652,46.69939382,11.05992722,0.098473639,1.713039988,0.285909857,NA,NA,NA,NA,NA,"Fi"
3654,46.69938595,11.0921053,0,1.315875315,0.691568311,NA,NA,NA,NA,NA,"EK"
3694,46.70305826,11.61144991,0,0.969847493,0.038937143,NA,NA,NA,NA,NA,"FT"
3695,46.70023943,11.62708282,0,0.122068509,0,NA,NA,NA,NA,NA,"Ei"
3775,46.69145808,10.63505676,0,10.2076469,0.913020832,NA,NA,NA,NA,NA,"Fs"
3816,46.6890822,11.17683845,0.937026535,0,0.227118398,NA,NA,NA,NA,NA," "
3844,46.6920775,11.53835503,1.070124677,0.808547964,0.030642583,NA,NA,NA,NA,NA,"Fi"
3920,46.6798347,10.46998659,0,0.017638618,0.13936438,NA,NA,NA,NA,NA,"Zi"
3963,46.67885183,11.03697604,1.655490388,1.862821961,0.154993051,NA,NA,NA,NA,NA,"FT"
3987,46.67850882,11.34707596,0,0.552871102,0,NA,NA,NA,NA,NA,"FT"
4005,46.67898442,11.58454119,0,1.249838854,0,NA,NA,NA,NA,NA,"FT"
4030,46.68291051,11.91071118,1.172348714,0.383241793,2.264882375,NA,NA,NA,NA,NA,"Fi"
4054,46.68175868,12.22563197,0.375374342,0.046236595,0.279049576,NA,NA,NA,NA,NA,"FT"
4101,46.67600774,10.76036381,0,0.308236531,0.418515869,NA,NA,NA,NA,NA,"Zi"
4123,46.67060042,11.04980116,1.086756376,0.043471622,0.351754452,NA,NA,NA,NA,NA,"Ei"
4127,46.67481166,11.09689127,17.58791437,0.04188469,0.485106559,0.304593361,4.955910507,8.036533466,36.74625887,32.59998254,"MH"
4132,46.6741667,11.16366933,1.831823414,0.163052709,0.11655118,0.497039316,4.222227497,4.339746878,39.40295833,41.43396052,"MH"
4136,46.66977529,11.21134266,0.72643577,0.0117153,1.191246499,NA,NA,NA,NA,NA,"Bu"
4244,46.66202203,10.49011719,0,0.063623304,0,NA,NA,NA,NA,NA,"La"
4266,46.66662315,10.77047133,0,1.737919927,0.960696689,NA,NA,NA,NA,NA,"Zi"
4303,46.66208126,11.26155098,5.292768969,0.626972221,0.336025444,NA,NA,NA,NA,NA,"Fi"
4308,46.66205943,11.31701461,0,0.530848429,0,NA,NA,NA,NA,NA,"Fi"
4329,46.65932163,11.59706253,1.054084452,0.088414846,0.077737322,1.330884775,0.555813002,1.146189802,29.32069124,26.90671888,"MH"
4337,46.66132165,11.70247109,0.76977563,0.941221339,0.716932469,NA,NA,NA,NA,NA,"FT"
4403,46.65323536,10.42240359,0,0.625434437,0,NA,NA,NA,NA,NA,"Fs"
4422,46.64994484,10.67054999,0,1.024497657,0.073695728,NA,NA,NA,NA,NA,"Fs"
4431,46.65730306,10.7816943,0,0.836580958,0.178019066,NA,NA,NA,NA,NA,"La"
4473,46.65182508,11.33295874,0,1.017834465,0.028702378,NA,NA,NA,NA,NA,"FT"
4498,46.65512703,11.66351113,0,1.545829539,1.223422875,NA,NA,NA,NA,NA,"FT"
4502,46.65744765,11.70748922,0.95409538,1.010531402,0.471838835,NA,NA,NA,NA,NA,"Fs"
4514,46.65436527,11.86664578,0,0.254125071,0.052222583,NA,NA,NA,NA,NA,"Ki"
4586,46.64256963,10.5897213,1.58208705,2.03266546,3.53e-05,NA,NA,NA,NA,NA," "
4601,46.64811472,10.78471422,0,1.206451289,0,NA,NA,NA,NA,NA,"La"
4623,46.64802447,11.07618851,2.792547185,0.806324257,2.442046864,NA,NA,NA,NA,NA,"FT"
