X,idpunto,WGRU_CODE,Capm_ha,Cce_ha,Cne_ha,Cnef_ha,Clt_ha,Cor_ha,Css_ha,Csp_ha,elevation,slope,aspect,ele_cat,slope_cat,asp_cat
97,3587,FT,0.441747485,0.078829374,0,NA,NA,NA,NA,NA,1328,18,112,5,2,3
98,3609,La,0,0,9.208768149,NA,NA,NA,NA,NA,1834,31,211,6,4,6
99,3614,Fs,0,0.963541742,0.466398759,NA,NA,NA,NA,NA,1782,23,265,6,3,7
100,3652,Fi,0.098473639,1.713039988,0.285909857,NA,NA,NA,NA,NA,1458,36,179,5,4,5
101,3654,EK,0,1.315875315,0.691568311,NA,NA,NA,NA,NA,1189,30,173,4,3,5
102,3694,FT,0,0.969847493,0.038937143,NA,NA,NA,NA,NA,1224,28,52,5,3,2
103,3695,Ei,0,0.122068509,0,NA,NA,NA,NA,NA,936,21,137,4,3,4
104,3775,Fs,0,10.2076469,0.913020832,NA,NA,NA,NA,NA,1912,25,287,6,3,7
105,3844,Fi,1.070124677,0.808547964,0.030642583,NA,NA,NA,NA,NA,1551,21,189,6,3,5
106,3920,Zi,0,0.017638618,0.13936438,NA,NA,NA,NA,NA,2041,33,31,6,4,2
107,3963,FT,1.655490388,1.862821961,0.154993051,NA,NA,NA,NA,NA,1506,35,80,6,4,3
108,3987,FT,0,0.552871102,0,NA,NA,NA,NA,NA,1299,27,22,5,3,1
109,4005,FT,0,1.249838854,0,NA,NA,NA,NA,NA,1345,23,101,5,3,3
110,4030,Fi,1.172348714,0.383241793,2.264882375,NA,NA,NA,NA,NA,1402,36,322,5,4,8
111,4054,FT,0.375374342,0.046236595,0.279049576,NA,NA,NA,NA,NA,1313,9,284,5,1,7
112,4101,Zi,0,0.308236531,0.418515869,NA,NA,NA,NA,NA,2121,31,339,6,4,1
113,4123,Ei,1.086756376,0.043471622,0.351754452,NA,NA,NA,NA,NA,612,39,118,3,4,4
114,4127,MH,17.58791437,0.04188469,0.485106559,0.304593361,4.955910507,8.036533466,36.74625887,32.59998254,699,24,34,3,3,2
115,4132,MH,1.831823414,0.163052709,0.11655118,0.497039316,4.222227497,4.339746878,39.40295833,41.43396052,423,25,227,2,3,6
116,4136,Bu,0.72643577,0.0117153,1.191246499,NA,NA,NA,NA,NA,698,30,316,3,3,8
117,4244,La,0,0.063623304,0,NA,NA,NA,NA,NA,1163,21,120,4,3,4
118,4266,Zi,0,1.737919927,0.960696689,NA,NA,NA,NA,NA,1854,39,91,6,4,3
119,4303,Fi,5.292768969,0.626972221,0.336025444,NA,NA,NA,NA,NA,1734,25,183,6,3,5
120,4308,Fi,0,0.530848429,0,NA,NA,NA,NA,NA,1664,29,216,6,3,6
121,4329,MH,1.054084452,0.088414846,0.077737322,1.330884775,0.555813002,1.146189802,29.32069124,26.90671888,671,27,176,3,3,5
122,4337,FT,0.76977563,0.941221339,0.716932469,NA,NA,NA,NA,NA,1579,34,327,6,4,8
123,4403,Fs,0,0.625434437,0,NA,NA,NA,NA,NA,2017,33,75,6,4,3
124,4422,Fs,0,1.024497657,0.073695728,NA,NA,NA,NA,NA,1778,20,263,6,2,7
125,4431,La,0,0.836580958,0.178019066,NA,NA,NA,NA,NA,1811,33,237,6,4,6
126,4473,FT,0,1.017834465,0.028702378,NA,NA,NA,NA,NA,1443,26,13,5,3,1
127,4498,FT,0,1.545829539,1.223422875,NA,NA,NA,NA,NA,1402,20,43,5,2,2
128,4502,Fs,0.95409538,1.010531402,0.471838835,NA,NA,NA,NA,NA,1810,6,150,6,1,4
129,4514,Ki,0,0.254125071,0.052222583,NA,NA,NA,NA,NA,1675,24,149,6,3,4
130,4601,La,0,1.206451289,0,NA,NA,NA,NA,NA,1689,37,236,6,4,6
131,4623,FT,2.792547185,0.806324257,2.442046864,NA,NA,NA,NA,NA,1160,29,323,4,3,8
132,4638,Fs,1.50889137,0.23503756,0.089249422,NA,NA,NA,NA,NA,1818,15,350,6,2,1
133,4646,FT,0,1.48658554,0.072100139,NA,NA,NA,NA,NA,1444,22,237,5,3,6
134,4668,Fi,0,0.443820226,0,NA,NA,NA,NA,NA,1243,17,217,5,2,6
