"","idpunto","lat","lon","WGRU_CODE","Capm_ha","Cce_ha","Cne_ha","Cnef_ha","Clt_ha","Cor_ha","Css_ha","Csp_ha","elevation","slope","aspect","ele_cat","slope_cat","asp_cat"
"152",5359,46.60778651,11.14811585,"MH",1.780335434,0.806694411,0.832415294,1.67907307,3.716304773,0,25.49643057,30.23023007,384,22,18,2,3,1
"153",5415,46.6059706,11.87927116,"Fi",0,0.098841574,0.083460442,NA,NA,NA,NA,NA,1574,16,141,6,2,4
"154",5511,46.59931976,10.59751313,"FT",0,2.175157582,0.037316211,NA,NA,NA,NA,NA,1495,27,329,5,3,8
"155",5528,46.60100999,10.81842378,"FT",0.511102578,0.710494282,0.855334796,NA,NA,NA,NA,NA,831,29,43,3,3,2
"156",5554,46.59718186,11.15854567,"MH",8.094344353,0.105152728,0.084526369,0.953873733,3.0706324,3.339180757,30.65854088,21.43203277,449,29,91,2,3,3
"157",5711,46.59378106,10.51261945,"Zi",0,0.529617548,0,NA,NA,NA,NA,NA,2006,31,37,8,4,2
"158",5715,46.59024561,10.56479918,"FT",0,2.124967873,0.121735511,NA,NA,NA,NA,NA,1574,33,38,6,4,2
"159",5716,46.58644755,10.58407143,"Zi",0,1.659044887,1.479501695,NA,NA,NA,NA,NA,2103,32,356,8,4,1
"160",5719,46.59469871,10.61640378,"Zi",0,0.070692023,0.090821832,0,5.467566571,28.98425039,39.41685108,59.30652071,1896,28,15,7,3,1
"161",5722,46.59449433,10.66361042,"Fs",1.247799824,0.204833526,0.417698748,NA,NA,NA,NA,NA,1757,31,338,6,4,8
"162",5754,46.58849897,11.07612444,"Fi",0,0.741284747,0.238460236,NA,NA,NA,NA,NA,856,12,45,3,2,2
"163",5773,46.59143274,11.32522455,"Fi",0.235589241,0.616707909,0.368445208,NA,NA,NA,NA,NA,1420,15,233,5,2,6
"164",5775,46.58987292,11.34574835,"FT",0,1.35351222,0,NA,NA,NA,NA,NA,1442,12,35,5,2,2
"165",5801,46.59445445,11.68656312,"Fs",0,0.28924996,0.059239515,NA,NA,NA,NA,NA,1936,15,168,7,2,5
"166",5963,46.58474709,11.01078514,"Fs",0,0.050283017,3.006325879,NA,NA,NA,NA,NA,1952,26,166,7,3,5
"167",5983,46.58578567,11.27620189,"Fi",0.313884362,0.874261276,0.236276879,NA,NA,NA,NA,NA,1431,19,312,5,2,8
"168",5997,46.58406654,11.45709886,"Fs",0,0,0,NA,NA,NA,NA,NA,1745,17,200,6,2,5
"169",6004,46.58001395,11.53993848,"Fi",0,4.37638171,0,NA,NA,NA,NA,NA,1213,6,153,5,1,4
"170",6151,46.57179916,10.57369688,"Zi",0,0.071004098,5.539118161,NA,NA,NA,NA,NA,2223,26,254,8,3,7
