idpunto,Capm_ha,Cce_ha,Cne_ha,Cnef_ha,Clt_ha,Cor_ha,Css_ha,Csp_ha,WGRU_CODE
4329,1.054084452,0.088414846,0.077737322,1.330884775,0.555813002,1.146189802,29.32069124,26.90671888,MH
4337,0.76977563,0.941221339,0.716932469,NA,NA,NA,NA,NA,FT
4403,0,0.625434437,0,NA,NA,NA,NA,NA,Fs
4422,0,1.024497657,0.073695728,NA,NA,NA,NA,NA,Fs
4431,0,0.836580958,0.178019066,NA,NA,NA,NA,NA,La
4473,0,1.017834465,0.028702378,NA,NA,NA,NA,NA,FT
4498,0,1.545829539,1.223422875,NA,NA,NA,NA,NA,FT
4502,0.95409538,1.010531402,0.471838835,NA,NA,NA,NA,NA,Fs
4514,0,0.254125071,0.052222583,NA,NA,NA,NA,NA,Ki
4586,1.58208705,2.03266546,3.53E-05,NA,NA,NA,NA,NA, 
4601,0,1.206451289,0,NA,NA,NA,NA,NA,La
4623,2.792547185,0.806324257,2.442046864,NA,NA,NA,NA,NA,FT
4638,1.50889137,0.23503756,0.089249422,NA,NA,NA,NA,NA,Fs
4646,0,1.48658554,0.072100139,NA,NA,NA,NA,NA,FT
4668,0,0.443820226,0,NA,NA,NA,NA,NA,Fi
4797,0,1.681917064,0.112395329,NA,NA,NA,NA,NA,FT
4804,0,0.162650726,0.230345795,NA,NA,NA,NA,NA,MH
4849,0.14603888,0.092254496,0.024040776,NA,NA,NA,NA,NA,Fi
4964,0,0,0,0.04159063,3.456955542,4.771923453,38.06595863,29.23794356,Ki
4978,0.323266548,0.413005395,1.159131643,0.904548265,15.86084896,65.33040464,52.77897032,54.74764445,FT
4998,0,0.325572463,0.127211159,NA,NA,NA,NA,NA,Fs
4999,0,0.43728885,0.041678234,NA,NA,NA,NA,NA,Fs
5028,0.286149949,1.806873961,0,NA,NA,NA,NA,NA,Fs
5031,1.705414939,0.916961442,0.103573454,NA,NA,NA,NA,NA,Zi
5047,0,0.144493282,0.120399755,NA,NA,NA,NA,NA,Zi
5142,5.794209246,0.022690126,0.225605632,NA,NA,NA,NA,NA,EK
5153,0.208861922,1.600686297,0.029932264,NA,NA,NA,NA,NA,Fi
5157,1.592962753,0.060693811,0.160828806,NA,NA,NA,NA,NA,FT
5161,1.700712509,2.300963469,0.875418105,NA,NA,NA,NA,NA,FT
5212,0.154286909,1.229310023,0.326221525,NA,NA,NA,NA,NA,Fs
5226,0.816973814,2.655950345,0,NA,NA,NA,NA,NA,Fs
5315,0,0.219237618,0,NA,NA,NA,NA,NA,Fi
5359,1.780335434,0.806694411,0.832415294,1.67907307,3.716304773,0,25.49643057,30.23023007,MH
5415,0,0.098841574,0.083460442,NA,NA,NA,NA,NA,Fi
5511,0,2.175157582,0.037316211,NA,NA,NA,NA,NA,FT
5528,0.511102578,0.710494282,0.855334796,NA,NA,NA,NA,NA,FT
5554,8.094344353,0.105152728,0.084526369,0.953873733,3.0706324,3.339180757,30.65854088,21.43203277,MH
5711,0,0.529617548,0,NA,NA,NA,NA,NA,Zi
5715,0,2.124967873,0.121735511,NA,NA,NA,NA,NA,FT
5716,0,1.659044887,1.479501695,NA,NA,NA,NA,NA,Zi
5719,0,0.070692023,0.090821832,0,5.467566571,28.98425039,39.41685108,59.30652071,Zi
5722,1.247799824,0.204833526,0.417698748,NA,NA,NA,NA,NA,Fs
