"","x","y","elevation","slope","aspect","depth","sand","silt","clay","tipi_for","Bodenlands","ele_cat","slope_cat","asp_cat","cat_for"
"14",621800.638826818,5160566.09651792,59,1991,29,69850.3189086914,0.245000004768372,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"15",620400.638826818,5160066.09651792,59,1995,35,350383.850097656,0.245000004768372,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"16",625100.638826818,5174866.09651792,62,2043,26,148436.416625977,0.246999993920326,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"17",625800.638826818,5175466.09651792,128,2115,29,134216.583251953,0.199000000953674,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"18",628800.638826818,5176966.09651792,62,1992,26,129606.506347656,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"19",625900.638826818,5175466.09651792,62,2079,31,134023.010253906,0.199000000953674,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"20",628800.638826818,5177166.09651792,59,2052,21,122446.090698242,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,1,"AE"
"21",622500.638826818,5160566.09651792,59,2027,20,313211.700439453,0.316000014543533,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,1,"AE"
"22",620100.638826818,5159466.09651792,62,2232,23,263243.560791016,0.245000004768372,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"23",628900.638826818,5177166.09651792,62,2015,25,114012.03918457,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"24",629000.638826818,5177266.09651792,62,1988,25,125225.257873535,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"25",619900.638826818,5159366.09651792,59,2144,28,255820.297241211,0.245000004768372,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"26",622400.638826818,5160466.09651792,59,2029,23,302427.703857422,0.316000014543533,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"27",619800.638826818,5159666.09651792,59,2081,32,275117.980957031,0.245000004768372,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"28",620100.638826818,5160166.09651792,59,1929,35,10470.8909988403,0.245000004768372,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"29",628500.638826818,5177066.09651792,52,2129,18,109428.161621094,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,1,"AE"
"30",628400.638826818,5176866.09651792,62,2144,21,104649.276733398,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,1,"AE"
"31",625500.638826818,5171966.09651792,59,2188,29,277274.627685547,0.243000000715256,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"32",620100.638826818,5159666.09651792,59,2208,20,308038.513183594,0.245000004768372,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,1,"AE"
"33",628600.638826818,5177166.09651792,62,2109,20,119521.530151367,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,1,"AE"
