"id","model.climate.tableName","model.site.soilDepth","model.site.swdC","model.site.otherC","model.site.youngRefractoryC","model.site.availableNitrogen","model.site.youngLabileC","model.site.somC","model.site.pctClay","model.site.pctSilt","model.site.pctSand"
30976,"climate774",219.999998807907,NA,NA,NA,NA,NA,NA,"6","38","56"
30961,"climate774",178.745985031128,NA,NA,NA,NA,NA,186886.5302,"18","41","41"
30947,"climate786",216.459766030312,NA,NA,NA,NA,NA,NA,"6","38","56"
30933,"climate799",219.999998807907,NA,NA,NA,NA,NA,NA,"6","38","56"
30919,"climate799",219.999998807907,NA,NA,NA,NA,NA,NA,"6","38","56"
30904,"climate799",219.999998807907,NA,NA,NA,NA,NA,NA,"6","38","56"
30888,"climate799",219.999998807907,NA,NA,NA,NA,NA,NA,"6","38","56"
30870,"climate799",219.999998807907,NA,NA,NA,NA,NA,NA,"6","38","56"
30851,"climate799",219.999998807907,NA,NA,NA,NA,NA,NA,"6","38","56"
30832,"climate799",219.999998807907,NA,NA,NA,NA,NA,NA,"6","38","56"
30813,"climate784",219.999998807907,NA,NA,NA,NA,NA,NA,"6","38","56"
30798,"climate784",219.999998807907,NA,NA,NA,NA,NA,NA,"6","38","56"
30784,"climate784",220.750078558922,NA,NA,NA,NA,NA,107663.1111,"18","41","41"
30769,"climate784",220.814436674118,NA,NA,NA,NA,NA,107663.1111,"18","41","41"
30753,"climate784",220.814436674118,NA,NA,NA,NA,NA,107663.1111,"18","41","41"
30736,"climate798",220.064371824265,NA,NA,NA,NA,NA,NA,"6","38","56"
30719,"climate798",367.423117160797,NA,NA,NA,NA,NA,176215,"18","41","41"
30702,"climate798",370.510905981064,NA,NA,NA,NA,NA,NA,"30","39","31"
30684,"climate796",369.690209627151,NA,NA,NA,NA,NA,NA,"30","39","31"
30666,"climate796",362.189471721649,NA,NA,NA,NA,NA,NA,"30","39","31"
30646,"climate796",416.301131248474,NA,NA,NA,NA,NA,229213.2143,"18","41","41"
30626,"climate790",421.000003814697,NA,NA,NA,NA,NA,229213.2143,"18","41","41"
30604,"climate790",421.000003814697,NA,NA,NA,NA,NA,229213.2143,"18","41","41"
30579,"climate788",385.934084653854,NA,NA,NA,NA,NA,NA,"30","39","31"
30547,"climate788",382.924884557724,NA,NA,NA,NA,NA,NA,"30","39","31"
30501,"climate789",358.92254114151,NA,NA,NA,NA,NA,NA,"30","39","31"
30445,"climate789",356.862783432007,NA,NA,NA,NA,NA,NA,"30","39","31"
30384,"climate789",218.207776546478,NA,NA,NA,NA,NA,NA,"12","39","49"
30320,"climate789",231.811493635178,NA,NA,NA,NA,NA,NA,"18","39","43"
30254,"climate789",233.999997377396,NA,NA,NA,NA,NA,NA,"18","39","43"
30191,"climate781",765.750110149384,NA,NA,NA,NA,NA,260680,"2","11","87"
30129,"climate759",811.195075511932,NA,NA,NA,NA,NA,260680,"2","11","87"
30065,"climate759",802.178084850311,NA,NA,NA,NA,NA,260680,"18","41","41"
29994,"climate759",946.544766426086,NA,NA,NA,NA,NA,186886.5302,"18","41","41"
29910,"climate759",958.999991416931,NA,NA,NA,NA,NA,186886.5302,"18","41","41"
29815,"climate759",958.999991416931,NA,NA,NA,NA,NA,186886.5302,"18","41","41"
29714,"climate759",958.999991416931,NA,NA,NA,NA,NA,186886.5302,"18","41","41"
29609,"climate759",958.999991416931,NA,NA,NA,NA,NA,186886.5302,"18","41","41"
29501,"climate759",958.999991416931,NA,NA,NA,NA,NA,186886.5302,"18","41","41"
29401,"climate759",958.999991416931,NA,NA,NA,NA,NA,186886.5302,"18","41","41"
29304,"climate759",958.999991416931,NA,NA,NA,NA,NA,186886.5302,"18","41","41"
29206,"climate759",415.51473736763,0,325.572463,127.211159,64.25,107568.698516717,21391.9488673443,"12","39","49"
29103,"climate759",388.678312301636,457.180634900662,692.430069145695,1796.02045929139,61,20818.1194731035,48222.7925941118,"24","40","36"
28999,"climate759",390.377730131149,457.180634900662,692.430069145695,1796.02045929139,61,20818.1194731035,48222.7925941118,"24","40","36"
28894,"climate746",356.639087200165,1543.39095008333,1198.81384768224,764.357939556075,57.75,107568.698516717,21391.9488673443,"12","39","49"
28788,"climate739",253.594398498535,715.784438,0,0.376992,61,20818.1194731035,48222.7925941118,"24","40","36"
28684,"climate739",245.000004768372,715.784438,0,0.376992,61,20818.1194731035,48222.7925941118,"24","40","36"
28576,"climate739",245.000004768372,402.38793200189,439.32616087051,668.460013202268,61,20818.1194731035,48222.7925941118,"24","40","36"
28468,"climate677",245.000004768372,402.38793200189,439.32616087051,668.460013202268,57.75,20818.1194731035,48222.7925941118,"18","39","43"
28359,"climate677",245.000004768372,NA,NA,NA,NA,NA,NA,"18","39","43"
28248,"climate677",245.000004768372,NA,NA,NA,NA,NA,NA,"18","39","43"
28138,"climate677",245.000004768372,402.38793200189,439.32616087051,668.460013202268,61,20818.1194731035,48222.7925941118,"24","40","36"
28030,"climate675",241.316139698029,NA,NA,NA,NA,NA,NA,"4","25","71"
27927,"climate675",292.574137449265,NA,NA,NA,NA,NA,NA,"4","25","71"
27829,"climate675",246.346831321716,NA,NA,NA,NA,NA,NA,"4","25","71"
27733,"climate667",159.853771328926,NA,NA,NA,NA,NA,176215,"18","41","41"
27640,"climate667",169.941619038582,NA,NA,NA,NA,NA,260680,"2","11","87"
27547,"climate667",133.27294588089,NA,NA,NA,NA,NA,260680,"18","41","41"
26106,"climate623",93.0794849991798,NA,NA,NA,NA,NA,260680,"30","39","31"
26021,"climate598",151.67510509491,NA,NA,NA,NA,NA,107663.1111,"18","41","41"
25934,"climate598",186.208486557007,NA,NA,NA,NA,NA,NA,"18","41","41"
25847,"climate598",157.671272754669,NA,NA,NA,NA,NA,NA,"6","38","56"
25760,"climate675",151.062116026878,NA,NA,NA,NA,NA,260680,"18","41","41"
25671,"climate675",150.724187493324,NA,NA,NA,NA,NA,260680,"18","41","41"
25582,"climate667",154.662072658539,NA,NA,NA,NA,NA,NA,"6","38","56"
25495,"climate667",155.000001192093,NA,NA,NA,NA,NA,NA,"6","38","56"
25410,"climate671",153.312340378761,NA,NA,NA,NA,NA,260680,"18","41","41"
24514,"climate635",209.999993443489,NA,NA,NA,NA,NA,NA,"6","38","56"
24425,"climate635",34.5967598259449,NA,NA,NA,NA,NA,24960,"0","0","0"
24215,"climate558",154.024168848991,NA,NA,NA,NA,NA,NA,"18","41","41"
24097,"climate549",206.620678305626,NA,NA,NA,NA,NA,NA,"6","38","56"
23973,"climate549",209.999993443489,NA,NA,NA,NA,NA,NA,"6","38","56"
