"id","model.climate.tableName","model.site.soilDepth","model.site.pctSand","model.site.pctSilt","model.site.pctClay","model.site.swdC","model.site.otherC","model.site.youngRefractoryC","model.site.availableNitrogen","model.site.youngLabileC","model.site.somC"
543,"climate19",241.651982069016,83.1714096069336,13.9743051528931,2.85631799697876,NA,NA,NA,NA,NA,176215
513,"climate19",249.34022128582,86.0066909790039,11.465311050415,2.52816104888916,NA,NA,NA,NA,NA,260680
484,"climate16",250,86.25,11.25,2.5,NA,NA,NA,NA,NA,260680
455,"climate16",250,86.25,11.25,2.5,NA,NA,NA,NA,NA,260680
427,"climate16",250,86.25,11.25,2.5,NA,NA,NA,NA,NA,260680
400,"climate16",250,86.25,11.25,2.5,NA,NA,NA,NA,NA,260680
23635,"climate594",178.187221288681,73.9652786254883,22.1210060119629,3.9218430519104,NA,NA,NA,NA,NA,NA
23503,"climate594",177.945852279663,74.2085876464844,21.9056949615479,3.89368200302124,NA,NA,NA,NA,NA,NA
23370,"climate584",180.758625268936,71.3733139038086,24.4146881103516,4.22183895111084,NA,NA,NA,NA,NA,NA
23230,"climate584",180.999994277954,71.129997253418,24.6299991607666,4.25,NA,NA,NA,NA,NA,NA
23083,"climate550",188.313215970993,73.9652786254883,22.1210060119629,3.9218430519104,NA,NA,NA,NA,NA,NA
22934,"climate538",188.940793275833,74.2085876464844,21.9056949615479,3.89368200302124,NA,NA,NA,NA,NA,NA
22783,"climate538",188.940793275833,74.2085876464844,21.9056949615479,3.89368200302124,NA,NA,NA,NA,NA,NA
22630,"climate532",196.363061666489,71.3733139038086,24.4146881103516,4.22183895111084,NA,NA,NA,NA,NA,NA
22477,"climate528",196.999996900558,71.129997253418,24.6299991607666,4.25,NA,NA,NA,NA,NA,NA
22325,"climate528",196.999996900558,71.129997253418,24.6299991607666,4.25,NA,NA,NA,NA,NA,NA
22171,"climate521",208.773076534271,50.2707290649414,35.279670715332,14.4449329376221,NA,NA,NA,NA,NA,NA
22014,"climate515",221.034482121468,43.1476554870605,38.9163436889648,17.9263210296631,625.005312883303,1311.47429472531,830.806924127469,57.75,20818.1194731035,48222.7925941118
21857,"climate503",222.000002861023,42.689998626709,39.1500015258789,18.1499996185303,625.005312883303,1311.47429472531,830.806924127469,57.75,20818.1194731035,48222.7925941118
21699,"climate503",222.000002861023,42.689998626709,39.1500015258789,18.1499996185303,625.005312883303,1311.47429472531,830.806924127469,57.75,20818.1194731035,48222.7925941118
21539,"climate495",248.440071940422,48.0230178833008,36.4272346496582,15.543496131897,571.471496709762,331.141641366755,65.3800083218997,57.75,20818.1194731035,48222.7925941118
21378,"climate495",224.268972873688,43.1476554870605,38.9163436889648,17.9263210296631,571.471496709762,331.141641366755,65.3800083218997,57.75,20818.1194731035,48222.7925941118
21218,"climate486",290.151536464691,47.9303016662598,39.444709777832,12.6334095001221,2152.0764649403,1108.39747047761,332.934616835821,64.25,107568.698516717,21391.9488673443
21058,"climate475",544.638991355896,28.5108833312988,38.8612365722656,32.6378784179688,2152.0764649403,1108.39747047761,332.934616835821,74,107568.698516717,21391.9488673443
20898,"climate475",380.90580701828,41.5950508117676,39.2621192932129,19.15283203125,2152.0764649403,1108.39747047761,332.934616835821,74,107568.698516717,21391.9488673443
20737,"climate467",301.455199718475,47.9440689086914,39.4566421508789,12.6092882156372,679.127296025478,2014.33754954459,356.500258292994,74,107568.698516717,21391.9488673443
20576,"climate459",544.638991355896,28.5108833312988,38.8612365722656,32.6378784179688,712.874562590164,1166.20190782358,253.365926555035,74,107568.698516717,21391.9488673443
20415,"climate459",317.33712553978,46.674919128418,39.4177589416504,13.9173221588135,679.127296025478,2014.33754954459,356.500258292994,64.25,107568.698516717,21391.9488673443
20252,"climate459",296.000003814697,48.3800010681152,39.4700012207031,12.1599998474121,679.127296025478,2014.33754954459,356.500258292994,64.25,107568.698516717,21391.9488673443
20085,"climate242",544.638991355896,28.5108833312988,38.8612365722656,32.6378784179688,679.127296025478,2014.33754954459,356.500258292994,74,107568.698516717,21391.9488673443
19916,"climate242",317.33712553978,46.674919128418,39.4177589416504,13.9173221588135,292.720535916667,993.944302458333,1187.34915951389,64.25,67686.6388958978,89852.3822690977
19747,"climate241",296.000003814697,48.3800010681152,39.4700012207031,12.1599998474121,292.720535916667,993.944302458333,1187.34915951389,64.25,67686.6388958978,89852.3822690977
19577,"climate230",296.000003814697,48.3800010681152,39.4700012207031,12.1599998474121,0,6502.711818,668.068901,64.25,67686.6388958978,89852.3822690977
19406,"climate230",296.000003814697,48.3800010681152,39.4700012207031,12.1599998474121,0,6502.711818,668.068901,64.25,67686.6388958978,89852.3822690977
19235,"climate229",296.000003814697,48.3800010681152,39.4700012207031,12.1599998474121,0,6502.711818,668.068901,64.25,67686.6388958978,89852.3822690977
19065,"climate440",296.000003814697,48.3800010681152,39.4700012207031,12.1599998474121,0,6502.711818,668.068901,57.75,67686.6388958978,89852.3822690977
